Time (s),Channel 1 (V),Channel 2 (V)
-0.00512,1.784624758839932,2.46127079451533
-0.00511875,1.784964342805411,2.46127079451533
-0.0051175,1.784964342805412,2.461950362536795
-0.00511625,1.78564351073637,2.461610578526062
-0.005115,1.78564351073637,2.461950362536795
-0.00511375,1.78564351073637,2.462290146547527
-0.0051125,1.786322678667329,2.462290146547527
-0.00511125,1.787001846598288,2.46262993055826
-0.00511,1.787001846598288,2.462969714568992
-0.00510875,1.787001846598288,2.46262993055826
-0.0051075,1.787001846598288,2.46262993055826
-0.00510625,1.788360182460206,2.46262993055826
-0.005105,1.789039350391165,2.46262993055826
-0.00510375,1.789378934356644,2.46262993055826
-0.0051025,1.789718518322123,2.463309498579724
-0.00510125,1.790397686253082,2.463309498579724
-0.0051,1.790397686253082,2.463309498579724
-0.00509875,1.791076854184041,2.463309498579724
-0.0050975,1.791756022115,2.463309498579724
-0.00509625,1.791756022115,2.463309498579724
-0.005095,1.792435190045959,2.46398906660119
-0.00509375,1.792774774011438,2.46398906660119
-0.0050925,1.793114357976918,2.464328850611922
-0.00509125,1.793453941942397,2.464328850611922
-0.00509,1.793453941942397,2.46398906660119
-0.00508875,1.793793525907876,2.464328850611922
-0.0050875,1.794812277804315,2.464328850611922
-0.00508625,1.795151861769794,2.46398906660119
-0.005085,1.795491445735274,2.46398906660119
-0.00508375,1.796170613666232,2.464328850611922
-0.0050825,1.796170613666232,2.464668634622655
-0.00508125,1.796510197631712,2.465348202644119
-0.00508,1.79752894952815,2.465348202644119
-0.00507875,1.797189365562671,2.465348202644119
-0.0050775,1.797868533493629,2.464668634622655
-0.00507625,1.798887285390068,2.465687986654852
-0.005075,1.799566453321027,2.465687986654852
-0.00507375,1.799906037286506,2.465687986654852
-0.0050725,1.799906037286506,2.466027770665584
-0.00507125,1.799906037286506,2.465348202644119
-0.00507,1.800585205217465,2.465348202644119
-0.00506875,1.800924789182944,2.465687986654852
-0.0050675,1.801264373148424,2.465687986654852
-0.00506625,1.801603957113903,2.466367554676317
-0.005065,1.801943541079382,2.466367554676317
-0.00506375,1.802622709010341,2.466367554676317
-0.0050625,1.802622709010341,2.466707338687049
-0.00506125,1.8033018769413,2.466707338687049
-0.00506,1.80364146090678,2.466367554676317
-0.00505875,1.80364146090678,2.466707338687049
-0.0050575,1.804660212803217,2.466707338687049
-0.00505625,1.804999796768697,2.466707338687049
-0.005055,1.804999796768698,2.46670733868705
-0.00505375,1.805678964699656,2.467386906708514
-0.0050525,1.806018548665136,2.467386906708514
-0.00505125,1.806018548665136,2.467386906708514
-0.00505,1.806697716596094,2.467726690719247
-0.00504875,1.807716468492532,2.468066474729979
-0.0050475,1.807376884527053,2.468066474729979
-0.00504625,1.808395636423491,2.467726690719247
-0.005045,1.808735220388971,2.467386906708514
-0.00504375,1.809753972285409,2.468066474729979
-0.0050425,1.809753972285409,2.468066474729979
-0.00504125,1.810093556250889,2.468406258740712
-0.00504,1.809753972285409,2.468746042751444
-0.00503875,1.810772724181848,2.468406258740712
-0.0050375,1.811451892112806,2.468406258740712
-0.00503625,1.811451892112806,2.468406258740712
-0.005035,1.812131060043765,2.468746042751444
-0.00503375,1.812470644009245,2.468406258740712
-0.0050325,1.812470644009245,2.468406258740712
-0.00503125,1.813149811940204,2.468746042751444
-0.00503,1.813828979871162,2.468746042751444
-0.00502875,1.813828979871162,2.469085826762177
-0.0050275,1.814168563836642,2.469425610772909
-0.00502625,1.8148477317676,2.469425610772909
-0.005025,1.814508147802121,2.469425610772909
-0.00502375,1.81552689969856,2.469765394783642
-0.0050225,1.815866483664039,2.469765394783642
-0.00502125,1.815866483664039,2.470105178794374
-0.00502,1.816885235560477,2.470105178794374
-0.00501875,1.816545651594998,2.470105178794374
-0.0050175,1.817224819525957,2.469765394783642
-0.00501625,1.818583155387874,2.469765394783642
-0.005015,1.818922739353354,2.470105178794374
-0.00501375,1.818243571422395,2.470105178794374
-0.0050125,1.819262323318833,2.470105178794374
-0.00501125,1.819941491249792,2.470105178794374
-0.00501,1.820281075215272,2.470444962805106
-0.00500875,1.820620659180751,2.470444962805106
-0.0050075,1.82096024314623,2.470444962805106
-0.00500625,1.821639411077189,2.470444962805106
-0.005005,1.821639411077189,2.470444962805106
-0.00500375,1.821978995042668,2.470784746815839
-0.0050025,1.822658162973627,2.470784746815839
-0.00500125,1.822997746939107,2.470784746815839
-0.005,1.823676914870066,2.470444962805106
-0.00499875,1.824016498835545,2.470784746815839
-0.0049975,1.824695666766504,2.471124530826572
-0.00499625,1.824356082801025,2.470784746815839
-0.004995,1.825035250731983,2.471464314837303
-0.00499375,1.825714418662942,2.471464314837304
-0.0049925,1.825714418662942,2.471804098848037
-0.00499125,1.826054002628422,2.471124530826572
-0.00499,1.82673317055938,2.471464314837304
-0.00498875,1.82673317055938,2.471464314837304
-0.0049875,1.827412338490339,2.471124530826572
-0.00498625,1.827751922455819,2.471464314837304
-0.004985,1.828431090386778,2.471804098848037
-0.00498375,1.829449842283215,2.471804098848037
-0.0049825,1.829449842283216,2.472143882858769
-0.00498125,1.829789426248696,2.472483666869501
-0.00498,1.830468594179654,2.472483666869501
-0.00497875,1.830468594179654,2.472483666869501
-0.0049775,1.830808178145134,2.472823450880234
-0.00497625,1.831487346076092,2.472823450880234
-0.004975,1.832166514007051,2.472823450880234
-0.00497375,1.83284568193801,2.472483666869501
-0.0049725,1.833185265903489,2.472143882858769
-0.00497125,1.83318526590349,2.472483666869501
-0.00497,1.833524849868969,2.472823450880234
-0.00496875,1.833524849868969,2.472823450880234
-0.0049675,1.834543601765407,2.472823450880234
-0.00496625,1.835222769696366,2.473163234890966
-0.004965,1.835222769696366,2.473163234890966
-0.00496375,1.835562353661846,2.473163234890966
-0.0049625,1.836241521592804,2.473163234890966
-0.00496125,1.836241521592804,2.473163234890966
-0.00496,1.836581105558284,2.473842802912432
-0.00495875,1.837260273489243,2.473842802912432
-0.0049575,1.837939441420201,2.473503018901699
-0.00495625,1.838279025385681,2.473842802912432
-0.004955,1.839297777282119,2.474522370933896
-0.00495375,1.839297777282119,2.473842802912432
-0.0049525,1.83895819331664,2.474182586923164
-0.00495125,1.839976945213078,2.474182586923164
-0.00495,1.839976945213078,2.474522370933896
-0.00494875,1.840316529178557,2.474182586923164
-0.0049475,1.840995697109516,2.474522370933896
-0.00494625,1.841335281074996,2.474522370933896
-0.004945,1.841674865040475,2.474522370933896
-0.00494375,1.842014449005954,2.474862154944629
-0.0049425,1.842354032971434,2.474522370933896
-0.00494125,1.843033200902392,2.474522370933896
-0.00494,1.843372784867872,2.474522370933896
-0.00493875,1.843712368833351,2.474862154944629
-0.0049375,1.844051952798831,2.475201938955361
-0.00493625,1.843712368833352,2.474522370933896
-0.004935,1.845070704695269,2.474862154944629
-0.00493375,1.845410288660749,2.474862154944629
-0.0049325,1.846089456591708,2.475541722966094
-0.00493125,1.846089456591708,2.475541722966094
-0.00493,1.846429040557187,2.475541722966094
-0.00492875,1.847108208488146,2.475881506976826
-0.0049275,1.846768624522667,2.475541722966094
-0.00492625,1.847108208488146,2.475541722966094
-0.004925,1.848466544350063,2.475881506976827
-0.00492375,1.848466544350063,2.476561074998291
-0.0049225,1.849145712281022,2.476221290987559
-0.00492125,1.849145712281022,2.476221290987559
-0.00492,1.849485296246502,2.475541722966094
-0.00491875,1.85016446417746,2.475541722966094
-0.0049175,1.85050404814294,2.475881506976826
-0.00491625,1.85050404814294,2.475881506976826
-0.004915,1.851183216073899,2.475541722966094
-0.00491375,1.851862384004858,2.476221290987559
-0.0049125,1.852201967970337,2.476561074998291
-0.00491125,1.852541551935817,2.476221290987559
-0.00491,1.853220719866775,2.476561074998291
-0.00490875,1.853220719866775,2.476561074998291
-0.0049075,1.853560303832255,2.476900859009024
-0.00490625,1.854239471763214,2.476900859009024
-0.004905,1.854579055728694,2.476900859009024
-0.00490375,1.855597807625131,2.476561074998291
-0.0049025,1.855597807625131,2.476900859009024
-0.00490125,1.855937391590611,2.477240643019756
-0.0049,1.855937391590611,2.477580427030489
-0.00489875,1.856616559521569,2.477580427030489
-0.0048975,1.857295727452529,2.477580427030489
-0.00489625,1.857974895383487,2.477240643019756
-0.004895,1.858314479348967,2.477580427030489
-0.00489375,1.858993647279926,2.477580427030489
-0.0048925,1.858993647279926,2.477240643019756
-0.00489125,1.858654063314446,2.477580427030489
-0.00489,1.859333231245405,2.477580427030489
-0.00488875,1.860012399176364,2.477240643019756
-0.0048875,1.860691567107323,2.477580427030489
-0.00488625,1.860691567107323,2.478259995051954
-0.004885,1.860691567107323,2.477920211041221
-0.00488375,1.861710319003761,2.477920211041221
-0.0048825,1.862049902969241,2.478599779062686
-0.00488125,1.86238948693472,2.478599779062686
-0.00488,1.862729070900199,2.477920211041221
-0.00487875,1.863408238831158,2.478259995051954
-0.0048775,1.864087406762117,2.478259995051954
